epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.96566,3.04561,5.14964,1.85775,7e-05,0.02151,4e-05,1e-05,nan,nan,nan,0.00325203,0.00325203,0.0707317
2,6.7127,3.02453,2.69674,1.84566,9e-05,0.02151,5e-05,2e-05,nan,nan,nan,0.00652017,0.00652017,0.0406665
3,9.39265,2.87966,2.51113,1.75457,0,0,0,0,nan,nan,nan,0.00972231,0.00972231,0.0105353
4,12.0003,2.87403,2.45967,1.72322,0,0,0,0,2.61323,4.47916,6.00979,0.009703,0.009703,0.009703
5,14.6034,2.76779,2.36064,1.68273,0.26401,0.01075,0.00533,0.00137,nan,nan,nan,0.009604,0.009604,0.009604
6,17.2961,2.67613,2.18192,1.63591,0.15596,0.03226,0.01326,0.00353,2.51656,nan,3.97205,0.009505,0.009505,0.009505
7,19.9332,2.67759,2.2151,1.64357,0.07629,0.04301,0.01071,0.00425,3.07855,4.30655,2.09807,0.009406,0.009406,0.009406
8,22.5841,2.6183,2.13601,1.57026,0.52284,0.27957,0.29993,0.10831,2.57811,2.44306,1.70691,0.009307,0.009307,0.009307
9,25.2469,2.67554,2.13148,1.60549,0.19307,0.21505,0.15592,0.06592,2.3546,3.20641,1.55409,0.009208,0.009208,0.009208
10,27.8584,2.53232,2.05485,1.5389,0.34385,0.27957,0.2365,0.08952,2.6028,2.18574,1.6345,0.009109,0.009109,0.009109
11,30.4632,2.4986,1.96143,1.51848,0.04915,0.08602,0.0334,0.01674,3.17909,4.06252,2.01642,0.00901,0.00901,0.00901
12,33.3883,2.44247,1.90953,1.51797,0.38315,0.4086,0.31665,0.12084,2.45828,1.94144,1.60431,0.008911,0.008911,0.008911
13,36.8725,2.39114,1.85773,1.50537,0.32046,0.23656,0.17766,0.05498,2.76279,2.45618,1.73941,0.008812,0.008812,0.008812
14,42.0015,2.38091,1.81621,1.49575,0.52468,0.39785,0.39802,0.13784,2.26919,2.1559,1.51687,0.008713,0.008713,0.008713
15,47.9108,2.41962,1.8787,1.50535,0.44537,0.43011,0.41491,0.14974,2.31755,1.89362,1.50135,0.008614,0.008614,0.008614
16,55.2079,2.39938,1.83276,1.4673,0.10107,0.06452,0.03726,0.01528,3.10713,3.77923,1.81771,0.008515,0.008515,0.008515
17,62.0003,2.32595,1.841,1.45916,0.04325,0.02151,0.00891,0.00435,3.92892,4.31949,2.33791,0.008416,0.008416,0.008416
18,68.4376,2.31341,1.82961,1.47601,0.49934,0.30108,0.28023,0.08812,2.70317,2.4168,1.66483,0.008317,0.008317,0.008317
19,74.4144,2.3686,1.80946,1.48609,0.26214,0.16129,0.13236,0.04696,2.98072,3.00408,1.85637,0.008218,0.008218,0.008218
20,81.7068,2.31615,1.78859,1.44107,0.55224,0.4086,0.42281,0.1493,2.43643,1.98181,1.55158,0.008119,0.008119,0.008119
21,88.833,2.30842,1.75394,1.45871,0.47442,0.32258,0.34455,0.13762,2.26913,2.01236,1.4577,0.00802,0.00802,0.00802
22,95.4656,2.29413,1.75298,1.45266,0.39182,0.24251,0.18924,0.06758,2.55155,2.64908,1.57029,0.007921,0.007921,0.007921
23,102.27,2.24387,1.65246,1.42744,0.32027,0.31183,0.25836,0.0746,2.70492,2.4386,1.69515,0.007822,0.007822,0.007822
24,108.216,2.2743,1.70538,1.41044,0.58192,0.41907,0.50154,0.19258,2.13726,1.69213,1.42706,0.007723,0.007723,0.007723
25,115.922,2.15629,1.61392,1.34555,0.528,0.4086,0.41482,0.14091,2.60593,2.12441,1.56328,0.007624,0.007624,0.007624
26,122.924,2.15803,1.57927,1.36277,0.61717,0.48538,0.52635,0.20494,2.17519,1.64558,1.41866,0.007525,0.007525,0.007525
27,129.75,2.2112,1.61177,1.39884,0.59601,0.50538,0.54533,0.20786,2.11741,1.51315,1.37636,0.007426,0.007426,0.007426
28,136.561,2.12324,1.50758,1.36867,0.68117,0.50538,0.56261,0.23381,2.02815,1.50162,1.40929,0.007327,0.007327,0.007327
29,146.326,2.14314,1.55758,1.34851,0.53637,0.34836,0.36306,0.13878,2.39577,1.91746,1.51856,0.007228,0.007228,0.007228
30,157.194,2.19196,1.4884,1.37926,0.83505,0.53763,0.64972,0.23401,2.15098,1.38765,1.42358,0.007129,0.007129,0.007129
31,166.664,2.09397,1.50468,1.33546,0.76764,0.56989,0.67698,0.25132,2.09817,1.49751,1.38701,0.00703,0.00703,0.00703
32,178.49,2.13423,1.54552,1.34573,0.50776,0.39785,0.39648,0.1474,2.26428,1.87544,1.50267,0.006931,0.006931,0.006931
33,194.119,2.12993,1.54105,1.34509,0.49754,0.44086,0.48024,0.18516,2.1771,1.83298,1.45531,0.006832,0.006832,0.006832
34,208.254,2.125,1.51487,1.38713,0.68089,0.5277,0.59915,0.26256,2.06141,1.5049,1.38576,0.006733,0.006733,0.006733
35,222.344,2.09054,1.45381,1.36015,0.59486,0.6129,0.63619,0.25712,2.10553,1.38549,1.35335,0.006634,0.006634,0.006634
36,236.817,2.05282,1.37446,1.30212,0.78209,0.54839,0.6491,0.28064,2.0451,1.41254,1.36495,0.006535,0.006535,0.006535
37,251.935,2.06453,1.46331,1.30268,0.67617,0.41935,0.51511,0.17767,2.26381,1.74599,1.47666,0.006436,0.006436,0.006436
38,267.816,2.06029,1.43116,1.3078,0.54171,0.44488,0.46415,0.15488,2.32341,1.96494,1.45978,0.006337,0.006337,0.006337
39,280.426,1.97869,1.38954,1.29019,0.71069,0.50191,0.55842,0.22935,2.21152,1.66788,1.4266,0.006238,0.006238,0.006238
40,294.394,2.03336,1.41363,1.31795,0.72986,0.51613,0.62937,0.27331,2.07264,1.62048,1.37443,0.006139,0.006139,0.006139
41,310.153,2.02121,1.47138,1.28583,0.81206,0.54839,0.63992,0.26708,2.10349,1.44108,1.4011,0.00604,0.00604,0.00604
42,324.611,2.00941,1.38262,1.30779,0.63998,0.48387,0.53403,0.2348,2.22684,1.55846,1.44069,0.005941,0.005941,0.005941
43,337.626,2.02441,1.39487,1.34136,0.75815,0.47312,0.55507,0.26291,1.98608,1.51908,1.35352,0.005842,0.005842,0.005842
44,353.559,2.01073,1.37687,1.31923,0.54556,0.31183,0.36793,0.15387,2.32815,2.17631,1.4691,0.005743,0.005743,0.005743
45,369.184,2.05167,1.40324,1.30463,0.53273,0.48387,0.52115,0.19407,2.11823,1.72753,1.40677,0.005644,0.005644,0.005644
46,380,1.96835,1.36929,1.26638,0.70073,0.56989,0.61112,0.27005,2.06916,1.52747,1.3659,0.005545,0.005545,0.005545
47,395.673,1.88566,1.31879,1.27703,0.72882,0.63578,0.66491,0.30259,1.93039,1.38384,1.35493,0.005446,0.005446,0.005446
48,411.556,1.96021,1.31915,1.2757,0.77836,0.47312,0.52637,0.21151,2.22613,1.61073,1.45003,0.005347,0.005347,0.005347
49,425.31,1.88891,1.30844,1.27018,0.19271,0.16129,0.15097,0.05504,2.70371,2.8128,1.59976,0.005248,0.005248,0.005248
50,439.942,1.89496,1.26108,1.24706,0.76634,0.60215,0.69423,0.31809,1.9114,1.2957,1.32643,0.005149,0.005149,0.005149
51,455.573,1.95102,1.3078,1.27415,0.82216,0.58065,0.68395,0.2625,2.08102,1.37252,1.39947,0.00505,0.00505,0.00505
52,469.387,1.95911,1.32228,1.2982,0.64122,0.69185,0.68582,0.32033,1.90226,1.26522,1.30867,0.004951,0.004951,0.004951
53,482.142,1.89271,1.27636,1.25671,0.69455,0.6357,0.66475,0.30987,1.96094,1.3354,1.34588,0.004852,0.004852,0.004852
54,497.412,1.9277,1.26318,1.28531,0.63805,0.47312,0.55962,0.24922,2.0827,1.52958,1.37115,0.004753,0.004753,0.004753
55,511.619,1.87435,1.25693,1.24177,0.72819,0.56989,0.63672,0.29737,1.89639,1.31484,1.28834,0.004654,0.004654,0.004654
56,527.497,1.93033,1.28462,1.25307,0.70067,0.69892,0.71577,0.3308,1.94994,1.14441,1.31715,0.004555,0.004555,0.004555
57,540.429,1.88986,1.2282,1.25387,0.81476,0.66667,0.7175,0.32278,1.91968,1.16296,1.32117,0.004456,0.004456,0.004456
58,554.223,1.83827,1.19339,1.22388,0.77461,0.62825,0.68998,0.29593,1.97044,1.33099,1.3278,0.004357,0.004357,0.004357
59,570.097,1.89599,1.2054,1.28481,0.80609,0.60215,0.7103,0.31859,1.91874,1.2439,1.31334,0.004258,0.004258,0.004258
60,583.544,1.85386,1.21158,1.24305,0.69413,0.68327,0.69663,0.31441,1.8979,1.17956,1.33067,0.004159,0.004159,0.004159
61,596.967,1.88277,1.21169,1.2315,0.68857,0.4755,0.51984,0.21466,2.39777,2.05057,1.50752,0.00406,0.00406,0.00406
62,613.298,1.86904,1.18637,1.2422,0.60269,0.37634,0.40087,0.1735,2.21996,2.08474,1.48237,0.003961,0.003961,0.003961
63,629.373,1.81735,1.18836,1.20177,0.77075,0.65076,0.71114,0.30686,1.98579,1.37893,1.36963,0.003862,0.003862,0.003862
64,641.581,1.85685,1.20453,1.23891,0.67808,0.58065,0.57859,0.25099,2.10103,1.48638,1.40257,0.003763,0.003763,0.003763
65,657.519,1.85901,1.25081,1.234,0.62816,0.55914,0.6073,0.26572,2.0773,1.53326,1.35036,0.003664,0.003664,0.003664
66,673.789,1.78902,1.1762,1.20162,0.77351,0.69892,0.75866,0.37667,1.80718,1.12681,1.26721,0.003565,0.003565,0.003565
67,686.256,1.78908,1.17036,1.21556,0.76431,0.65591,0.73529,0.33139,1.89349,1.22688,1.29118,0.003466,0.003466,0.003466
