epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.0223,2.30294,2.70188,1.76062,0.04639,0.04301,0.007,0.00137,3.47578,37.8874,3.29796,0.00330623,0.00330623,0.0702439
2,105.301,2.30308,2.10883,1.77835,0.06856,0.06989,0.02012,0.00712,3.05455,4.57982,3.47378,0.00657383,0.00657383,0.0401782
3,156.499,2.29454,2.13722,1.81023,0.07961,0.34229,0.05258,0.01461,2.53564,9.39372,2.07028,0.00977544,0.00977544,0.0100464
4,206.538,2.22478,1.90609,1.73363,0.16772,0.1362,0.04701,0.01263,2.89317,4.02628,2.187,0.009703,0.009703,0.009703
5,257.939,2.06818,1.77445,1.6456,0.40882,0.43548,0.38953,0.14826,2.22618,2.04053,1.80885,0.009604,0.009604,0.009604
6,309.393,2.06454,1.73291,1.63459,0.36668,0.29676,0.25566,0.09157,2.45592,2.68217,1.88585,0.009505,0.009505,0.009505
7,361.434,2.01545,1.66195,1.61337,0.64958,0.51792,0.56577,0.24258,1.98396,1.70317,1.66092,0.009406,0.009406,0.009406
8,412.515,1.97722,1.60359,1.58065,0.70376,0.39068,0.46822,0.19053,2.19152,2.11374,1.74333,0.009307,0.009307,0.009307
9,463.088,1.91822,1.54618,1.53033,0.55805,0.27957,0.32369,0.12727,2.32279,2.3384,1.88113,0.009208,0.009208,0.009208
10,514.477,1.91099,1.49017,1.53008,0.68665,0.58423,0.63519,0.26871,1.97955,1.54056,1.67545,0.009109,0.009109,0.009109
11,566.962,1.89151,1.41754,1.50155,0.62885,0.64158,0.63339,0.27565,1.99787,1.61486,1.66118,0.00901,0.00901,0.00901
12,618.332,1.88564,1.46674,1.50862,0.70539,0.59214,0.62798,0.2756,2.08939,1.57169,1.66576,0.008911,0.008911,0.008911
13,670.905,1.82674,1.36394,1.46527,0.48605,0.57527,0.47752,0.1969,1.9583,2.12524,1.6089,0.008812,0.008812,0.008812
14,721.127,1.82628,1.3835,1.45717,0.5016,0.33871,0.35539,0.16664,2.21199,2.43089,1.79839,0.008713,0.008713,0.008713
15,771.606,1.73381,1.28677,1.41153,0.7426,0.70251,0.75572,0.36276,1.84372,1.29476,1.51556,0.008614,0.008614,0.008614
16,822.924,1.74847,1.27663,1.42076,0.8085,0.55235,0.63162,0.26872,2.00145,1.66805,1.60437,0.008515,0.008515,0.008515
17,874.147,1.7643,1.30794,1.42525,0.75574,0.62658,0.69609,0.31967,1.93828,1.46107,1.59154,0.008416,0.008416,0.008416
18,925.98,1.73445,1.27228,1.41359,0.72606,0.66308,0.71899,0.337,1.84278,1.36369,1.5751,0.008317,0.008317,0.008317
19,977.826,1.70729,1.22506,1.39578,0.72042,0.54839,0.66681,0.29889,2.05233,1.44914,1.65714,0.008218,0.008218,0.008218
20,1023.01,1.71279,1.22372,1.39459,0.60355,0.38172,0.41691,0.18805,2.19895,2.15274,1.74449,0.008119,0.008119,0.008119
21,1065.23,1.63426,1.13963,1.35214,0.65757,0.59319,0.66811,0.32318,1.85062,1.4376,1.46448,0.00802,0.00802,0.00802
22,1107.69,1.651,1.14876,1.36368,0.72721,0.73118,0.80285,0.40366,1.77042,1.15358,1.47936,0.007921,0.007921,0.007921
23,1150.14,1.63431,1.11164,1.35475,0.7964,0.69176,0.78698,0.38248,1.84382,1.18563,1.53769,0.007822,0.007822,0.007822
24,1192.44,1.59827,1.06015,1.32553,0.67203,0.60224,0.6237,0.28272,1.96547,1.4551,1.60187,0.007723,0.007723,0.007723
25,1233.49,1.61279,1.11038,1.34399,0.75129,0.5955,0.71635,0.32636,1.91213,1.30691,1.55566,0.007624,0.007624,0.007624
26,1274.81,1.61515,1.10025,1.34232,0.58049,0.48746,0.49963,0.22063,2.15401,2.04241,1.74988,0.007525,0.007525,0.007525
27,1316.93,1.55182,1.03108,1.31332,0.82145,0.75269,0.82653,0.39949,1.76789,1.10861,1.46645,0.007426,0.007426,0.007426
28,1359.27,1.54143,1.01693,1.29996,0.78989,0.74194,0.7811,0.37172,1.86275,1.15586,1.52018,0.007327,0.007327,0.007327
29,1397.56,1.55821,1.01903,1.31878,0.70367,0.70968,0.77393,0.36273,1.83468,1.25528,1.51145,0.007228,0.007228,0.007228
