epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.7374,2.54857,3.43153,1.91661,0.00177,0.02867,0.00057,0.0002,nan,nan,nan,0.0702439,0.00330623,0.00330623
2,47.9401,2.52622,2.27368,1.918,0.06321,0.14516,0.03318,0.0093,3.42664,178.861,3.18925,0.0401782,0.00657383,0.00657383
3,66.5507,2.52074,2.27624,1.93015,0.17097,0.02151,0.01881,0.01027,3.59042,5.22255,3.05664,0.0100464,0.00977544,0.00977544
4,85.2084,2.43597,2.13315,1.82294,0.31807,0.43728,0.30118,0.10026,2.44774,2.16897,2.05661,0.009703,0.009703,0.009703
5,104.03,2.25889,1.92724,1.76147,0.44673,0.30645,0.27313,0.08824,2.50557,2.66649,2.14728,0.009604,0.009604,0.009604
6,122.967,2.22312,1.87198,1.68843,0.36563,0.29391,0.23609,0.0875,2.65169,2.2653,2.13574,0.009505,0.009505,0.009505
7,141.87,2.19747,1.82248,1.68269,0.15988,0.16487,0.0713,0.02328,2.89982,3.06826,2.31336,0.009406,0.009406,0.009406
8,160.738,2.16983,1.82384,1.6783,0.31202,0.19713,0.1306,0.05057,2.69165,3.52569,2.11398,0.009307,0.009307,0.009307
9,179.805,2.06919,1.71888,1.60827,0.34756,0.34369,0.28581,0.12573,2.32886,2.11736,1.7964,0.009208,0.009208,0.009208
10,198.793,2.04998,1.64238,1.56724,0.54444,0.58961,0.59154,0.25561,2.02766,1.71303,1.6275,0.009109,0.009109,0.009109
11,217.766,2.08822,1.65227,1.60639,0.48865,0.5737,0.49014,0.18424,2.3429,2.03395,1.91007,0.00901,0.00901,0.00901
12,236.777,2.029,1.60715,1.57848,0.61616,0.51075,0.54936,0.262,2.03022,1.58173,1.6461,0.008911,0.008911,0.008911
13,255.733,1.97596,1.52621,1.55947,0.68985,0.58781,0.63502,0.27548,1.96384,1.49425,1.61779,0.008812,0.008812,0.008812
14,274.699,1.95121,1.50892,1.51707,0.67665,0.48566,0.54931,0.24149,2.08906,1.75428,1.69285,0.008713,0.008713,0.008713
15,293.768,1.96384,1.50589,1.53084,0.59864,0.40681,0.49131,0.20473,2.18872,1.83283,1.70649,0.008614,0.008614,0.008614
16,312.741,1.90352,1.4706,1.51292,0.76141,0.59677,0.70726,0.31064,1.94282,1.35652,1.56246,0.008515,0.008515,0.008515
17,332.055,1.89202,1.444,1.49681,0.5837,0.4767,0.49583,0.21122,2.20933,1.75494,1.72215,0.008416,0.008416,0.008416
18,365.15,1.89044,1.38462,1.49693,0.68074,0.58084,0.61966,0.26368,2.09589,1.56984,1.65894,0.008317,0.008317,0.008317
19,397.463,1.84266,1.35521,1.46104,0.64354,0.6129,0.63128,0.29348,1.90331,1.48943,1.57521,0.008218,0.008218,0.008218
20,429.894,1.86431,1.38371,1.46099,0.60198,0.56272,0.62379,0.28616,1.94715,1.45748,1.59078,0.008119,0.008119,0.008119
21,462.837,1.83359,1.33372,1.45319,0.80303,0.59182,0.71761,0.3286,1.94955,1.36375,1.57106,0.00802,0.00802,0.00802
22,496.109,1.79889,1.25286,1.43539,0.77059,0.51434,0.59326,0.25638,2.14865,1.54373,1.73263,0.007921,0.007921,0.007921
23,530.798,1.7995,1.31558,1.4501,0.69522,0.63082,0.70207,0.30251,2.01507,1.37231,1.6158,0.007822,0.007822,0.007822
24,563.97,1.74807,1.22646,1.394,0.74337,0.55544,0.65544,0.29501,1.9684,1.41748,1.56815,0.007723,0.007723,0.007723
25,596.91,1.73617,1.23768,1.39942,0.6298,0.69355,0.66062,0.3082,1.92245,1.49106,1.57226,0.007624,0.007624,0.007624
26,629.67,1.75802,1.23394,1.41888,0.74248,0.61486,0.70747,0.30888,1.96546,1.38537,1.5968,0.007525,0.007525,0.007525
27,662.266,1.71891,1.18602,1.4031,0.75513,0.58602,0.69121,0.32227,1.97092,1.38792,1.59882,0.007426,0.007426,0.007426
28,695.141,1.69877,1.18447,1.38125,0.7595,0.58065,0.67947,0.32266,1.90517,1.33096,1.54949,0.007327,0.007327,0.007327
29,729.828,1.72951,1.20714,1.40237,0.75543,0.68088,0.74681,0.3703,1.81254,1.23841,1.5192,0.007228,0.007228,0.007228
30,762.414,1.69525,1.1609,1.37516,0.73238,0.63082,0.6663,0.32688,1.89311,1.37553,1.53931,0.007129,0.007129,0.007129
