epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.4919,2.40978,3.08238,1.72888,0.01709,0.00358,0.00052,0.00015,4.31117,inf,8.96859,0.0702439,0.00330623,0.00330623
2,91.7078,2.37806,2.13985,1.72728,0.19994,0.17921,0.11046,0.03057,2.68401,19.0316,2.19209,0.0401782,0.00657383,0.00657383
3,130.041,2.30326,2.11946,1.70242,0.1747,0.26882,0.09025,0.02572,2.73972,3.30271,2.03224,0.0100464,0.00977544,0.00977544
4,168.91,2.31013,1.97031,1.67783,0.54234,0.30108,0.33062,0.13106,2.40418,2.33779,1.87586,0.009703,0.009703,0.009703
5,219.09,2.17029,1.80781,1.60382,0.43857,0.34588,0.33378,0.11986,2.34793,2.18823,1.74505,0.009604,0.009604,0.009604
6,273.291,2.19211,1.78343,1.61139,0.25552,0.25269,0.14707,0.04304,2.63767,2.74684,1.94824,0.009505,0.009505,0.009505
7,329.046,2.11102,1.71459,1.54638,0.20695,0.16487,0.11391,0.02741,2.7591,2.64031,2.11241,0.009406,0.009406,0.009406
8,372.912,2.08624,1.67002,1.5409,0.52979,0.37634,0.35131,0.12176,2.36185,2.23157,1.70635,0.009307,0.009307,0.009307
9,426.363,1.97369,1.53165,1.4836,0.1982,0.12903,0.08177,0.0276,2.71982,3.60668,1.85479,0.009208,0.009208,0.009208
10,474.386,1.99172,1.54344,1.49124,0.53311,0.44444,0.4261,0.17328,2.23215,1.85292,1.71855,0.009109,0.009109,0.009109
11,514.561,2.0751,1.61446,1.49702,0.29641,0.32079,0.22637,0.06795,2.49784,2.3364,1.81054,0.00901,0.00901,0.00901
12,547.609,1.97562,1.51112,1.46935,0.61312,0.46774,0.53317,0.24264,1.99462,1.6302,1.55373,0.008911,0.008911,0.008911
13,590.06,1.87715,1.3906,1.41186,0.65529,0.51075,0.58489,0.26102,2.0752,1.60341,1.57366,0.008812,0.008812,0.008812
14,634.121,1.85975,1.37518,1.40653,0.70409,0.57992,0.66441,0.30297,1.95944,1.5489,1.518,0.008713,0.008713,0.008713
15,670.726,1.85021,1.35705,1.3957,0.7603,0.5448,0.59419,0.25202,2.109,1.62427,1.61726,0.008614,0.008614,0.008614
16,708.546,1.81794,1.3316,1.38252,0.63008,0.47133,0.56784,0.22219,2.13134,1.60914,1.54722,0.008515,0.008515,0.008515
17,749.89,1.82138,1.33232,1.38118,0.73723,0.63799,0.7187,0.31494,1.95316,1.38245,1.4795,0.008416,0.008416,0.008416
18,791.42,1.83087,1.29184,1.39838,0.65841,0.58244,0.63286,0.29028,1.94522,1.54071,1.52328,0.008317,0.008317,0.008317
19,822.671,1.78995,1.27504,1.3639,0.78802,0.51299,0.62858,0.25316,2.09152,1.52933,1.6066,0.008218,0.008218,0.008218
20,866.405,1.7763,1.26932,1.35364,0.7776,0.68996,0.75816,0.34344,1.91526,1.29859,1.46829,0.008119,0.008119,0.008119
21,909.011,1.78236,1.25385,1.36129,0.68347,0.5998,0.66255,0.28989,2.00442,1.50956,1.49892,0.00802,0.00802,0.00802
22,947.879,1.69394,1.17719,1.32315,0.72771,0.67052,0.7671,0.36179,1.86013,1.20445,1.4302,0.007921,0.007921,0.007921
23,982.125,1.66847,1.15053,1.30482,0.46686,0.3172,0.31698,0.11889,2.44497,2.38737,1.79772,0.007822,0.007822,0.007822
24,1023.3,1.66264,1.12289,1.2927,0.72247,0.6858,0.72822,0.31599,1.92111,1.41662,1.47263,0.007723,0.007723,0.007723
25,1065.89,1.66403,1.14035,1.29263,0.7533,0.73118,0.76095,0.37341,1.78354,1.21857,1.37476,0.007624,0.007624,0.007624
26,1102.45,1.6981,1.16862,1.32175,0.76004,0.62903,0.68975,0.29856,1.96167,1.3422,1.50702,0.007525,0.007525,0.007525
27,1142.92,1.65927,1.11311,1.29757,0.68946,0.73477,0.77117,0.33055,1.93751,1.24367,1.5097,0.007426,0.007426,0.007426
28,1184.64,1.64706,1.1129,1.29268,0.7711,0.67011,0.7441,0.37328,1.84479,1.19587,1.42946,0.007327,0.007327,0.007327
29,1226.09,1.67757,1.13491,1.30628,0.72404,0.63441,0.69394,0.3279,1.90709,1.43208,1.46973,0.007228,0.007228,0.007228
30,1257.92,1.64425,1.08395,1.28229,0.761,0.63799,0.73276,0.36461,1.83266,1.3047,1.4367,0.007129,0.007129,0.007129
31,1299.2,1.61197,1.05246,1.27559,0.81308,0.70161,0.79906,0.3977,1.73471,1.15101,1.33797,0.00703,0.00703,0.00703
32,1341.5,1.60479,1.06053,1.27563,0.64426,0.48746,0.56644,0.2529,2.08762,1.8829,1.54416,0.006931,0.006931,0.006931
33,1381.38,1.59337,1.07813,1.26919,0.76771,0.6828,0.78794,0.36606,1.84365,1.15593,1.4148,0.006832,0.006832,0.006832
34,1417.98,1.58731,1.04476,1.25287,0.73949,0.69185,0.77866,0.39077,1.84445,1.15008,1.43681,0.006733,0.006733,0.006733
35,1459.41,1.56478,1.00629,1.24516,0.85932,0.68967,0.79961,0.4125,1.74908,1.0939,1.3633,0.006634,0.006634,0.006634
36,1500.68,1.53981,0.96887,1.24079,0.77478,0.75269,0.79226,0.40109,1.7463,1.08412,1.38415,0.006535,0.006535,0.006535
37,1533.29,1.54935,1.02386,1.23488,0.83604,0.63441,0.78487,0.39656,1.81494,1.16565,1.41456,0.006436,0.006436,0.006436
38,1574.06,1.5095,0.96272,1.21765,0.73586,0.73835,0.78354,0.4063,1.72961,1.1237,1.40476,0.006337,0.006337,0.006337
39,1617.98,1.5052,0.96241,1.22702,0.84002,0.74337,0.82794,0.41006,1.85035,1.02843,1.47198,0.006238,0.006238,0.006238
40,1659.3,1.47708,0.923,1.20132,0.78484,0.60795,0.72147,0.31621,2.14053,1.27701,1.61133,0.006139,0.006139,0.006139
41,1692.83,1.5011,0.94469,1.20122,0.79861,0.76754,0.85244,0.42134,1.76906,1.01031,1.36894,0.00604,0.00604,0.00604
42,1734.21,1.50911,0.94272,1.21808,0.81756,0.69065,0.78013,0.38354,1.88299,1.2162,1.47629,0.005941,0.005941,0.005941
43,1775.97,1.48954,0.92984,1.20962,0.73476,0.75448,0.79201,0.37567,1.82021,1.13532,1.38729,0.005842,0.005842,0.005842
44,1811.53,1.4747,0.90657,1.19332,0.80891,0.77957,0.82506,0.40553,1.75904,1.07168,1.38534,0.005743,0.005743,0.005743
45,1850.29,1.45714,0.91723,1.18613,0.83619,0.76882,0.84233,0.41402,1.78819,1.02574,1.40707,0.005644,0.005644,0.005644
