epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,202.207,1.89311,3.13234,1.21134,0.52806,0.47591,0.44177,0.2136,1.74033,1.74064,1.13622,0.0700648,0.00332613,0.00332613
2,364.498,1.69114,1.56452,1.08864,0.62214,0.49323,0.53314,0.25911,1.79716,1.61265,1.14664,0.0399989,0.00659354,0.00659354
3,506.168,1.81273,1.67356,1.13502,0.55504,0.36762,0.35019,0.14537,2.12482,2.43534,1.35453,0.00986694,0.00979494,0.00979494
4,648.049,1.86447,1.64946,1.16348,0.53935,0.44613,0.42612,0.18942,1.96606,1.90434,1.24495,0.009703,0.009703,0.009703
5,792.363,1.81858,1.57615,1.15763,0.63115,0.55215,0.56596,0.28418,1.77588,1.51494,1.17919,0.009604,0.009604,0.009604
6,934.864,1.72363,1.44749,1.11926,0.60872,0.57066,0.53601,0.25518,1.75332,1.49865,1.15899,0.009505,0.009505,0.009505
7,1078.02,1.65821,1.36867,1.09994,0.66653,0.59448,0.60887,0.31413,1.63997,1.37386,1.15782,0.009406,0.009406,0.009406
8,1220.68,1.63434,1.33492,1.09389,0.67871,0.55812,0.58914,0.28872,1.68851,1.38685,1.15934,0.009307,0.009307,0.009307
9,1361.7,1.58642,1.28331,1.07933,0.71709,0.61343,0.65646,0.33715,1.60445,1.29844,1.11604,0.009208,0.009208,0.009208
10,1506.52,1.55526,1.23654,1.06914,0.68346,0.63617,0.66757,0.34414,1.57204,1.29534,1.08682,0.009109,0.009109,0.009109
11,1648.22,1.5198,1.19452,1.05039,0.71659,0.60507,0.64682,0.34425,1.56594,1.28026,1.0996,0.00901,0.00901,0.00901
12,1791.02,1.50201,1.17289,1.04865,0.70399,0.58744,0.65568,0.34068,1.59389,1.34498,1.09386,0.008911,0.008911,0.008911
13,1935.03,1.46109,1.12297,1.02488,0.69858,0.62488,0.69092,0.37526,1.54609,1.19085,1.08638,0.008812,0.008812,0.008812
14,2076.69,1.42838,1.08615,1.02145,0.70799,0.64645,0.67411,0.37292,1.51209,1.2232,1.07586,0.008713,0.008713,0.008713
15,2221.54,1.42863,1.08849,1.02216,0.73098,0.71251,0.73484,0.40677,1.49026,1.10398,1.0687,0.008614,0.008614,0.008614
16,2366.1,1.41099,1.05749,1.01331,0.70363,0.6787,0.71283,0.38858,1.50491,1.19019,1.07,0.008515,0.008515,0.008515
17,2509.27,1.39346,1.04357,1.00936,0.74569,0.65406,0.70563,0.38658,1.4839,1.18866,1.07221,0.008416,0.008416,0.008416
18,2654.79,1.37932,1.01721,1.00673,0.74062,0.63671,0.70553,0.40212,1.4596,1.16772,1.0593,0.008317,0.008317,0.008317
19,2797.6,1.34375,0.99017,0.99204,0.73053,0.67223,0.70096,0.38207,1.51201,1.1427,1.09828,0.008218,0.008218,0.008218
20,2938.92,1.33947,0.97706,0.99108,0.71916,0.69518,0.74048,0.40801,1.46446,1.1064,1.07216,0.008119,0.008119,0.008119
21,3082.55,1.32548,0.95711,0.98583,0.71993,0.67461,0.71983,0.40125,1.48395,1.22612,1.06252,0.00802,0.00802,0.00802
22,3223.38,1.30865,0.94787,0.98423,0.74242,0.69131,0.70572,0.39091,1.50782,1.18543,1.08221,0.007921,0.007921,0.007921
23,3365.87,1.29805,0.92856,0.97374,0.7414,0.71467,0.73176,0.41365,1.44584,1.09483,1.05142,0.007822,0.007822,0.007822
24,3508.3,1.27743,0.90084,0.97137,0.70104,0.74716,0.74385,0.41753,1.44493,1.07161,1.07482,0.007723,0.007723,0.007723
25,3648.5,1.27418,0.90022,0.96868,0.77312,0.70844,0.75513,0.42797,1.43778,1.0831,1.06312,0.007624,0.007624,0.007624
26,3792.61,1.26263,0.88851,0.9619,0.74939,0.70265,0.74351,0.42526,1.40236,1.06427,1.05448,0.007525,0.007525,0.007525
27,3905.41,1.24698,0.86719,0.95651,0.75205,0.68489,0.71155,0.41651,1.45857,1.10337,1.06855,0.007426,0.007426,0.007426
28,3999.39,1.23981,0.84386,0.95276,0.77076,0.74454,0.76013,0.43683,1.39013,0.99409,1.04992,0.007327,0.007327,0.007327
29,4089.67,1.21445,0.83428,0.94873,0.76208,0.71955,0.74727,0.43289,1.41503,1.01866,1.04674,0.007228,0.007228,0.007228
30,4134.72,1.22189,0.81941,0.94598,0.76029,0.70926,0.75394,0.44277,1.4147,1.03521,1.04924,0.007129,0.007129,0.007129
31,4179.4,1.18986,0.81659,0.94337,0.73608,0.73795,0.75444,0.44112,1.39743,1.02333,1.05853,0.00703,0.00703,0.00703
32,4224.16,1.19159,0.80244,0.94227,0.80755,0.70428,0.77398,0.45292,1.4038,1.04489,1.05887,0.006931,0.006931,0.006931
33,4268.82,1.16821,0.78425,0.93699,0.75249,0.71359,0.757,0.44852,1.37733,0.98495,1.0446,0.006832,0.006832,0.006832
34,4313.58,1.17605,0.78411,0.93494,0.80148,0.7163,0.75967,0.44947,1.39831,0.99736,1.04337,0.006733,0.006733,0.006733
35,4358.19,1.17039,0.77309,0.9301,0.77666,0.71359,0.76018,0.44711,1.4029,1.04425,1.06031,0.006634,0.006634,0.006634
36,4402.9,1.15185,0.7621,0.92929,0.70695,0.74188,0.74977,0.44346,1.44464,1.032,1.0795,0.006535,0.006535,0.006535
37,4447.6,1.14838,0.76614,0.93266,0.74547,0.73849,0.75876,0.43695,1.38609,1.02858,1.05127,0.006436,0.006436,0.006436
38,4492.44,1.12784,0.73086,0.92509,0.78057,0.719,0.76767,0.45063,1.37686,0.99839,1.04663,0.006337,0.006337,0.006337
39,4537.12,1.13229,0.73735,0.92432,0.7778,0.73535,0.77232,0.45276,1.39967,0.98822,1.05531,0.006238,0.006238,0.006238
40,4581.91,1.12102,0.72423,0.92013,0.78844,0.70926,0.76085,0.45294,1.36669,0.98173,1.04692,0.006139,0.006139,0.006139
41,4626.58,1.11488,0.72682,0.91969,0.80346,0.72009,0.76851,0.45118,1.37576,0.98004,1.03948,0.00604,0.00604,0.00604
42,4671.31,1.10662,0.71329,0.91664,0.80006,0.70168,0.7578,0.45106,1.40177,0.99151,1.05387,0.005941,0.005941,0.005941
43,4716.07,1.09735,0.7095,0.91354,0.80086,0.7098,0.77587,0.46205,1.39555,0.9692,1.04649,0.005842,0.005842,0.005842
44,4760.84,1.08566,0.70015,0.90399,0.79477,0.71289,0.78582,0.475,1.37581,0.97186,1.04071,0.005743,0.005743,0.005743
45,4805.6,1.08662,0.7,0.90702,0.79079,0.75311,0.78914,0.46695,1.37947,0.96605,1.04756,0.005644,0.005644,0.005644
46,4850.38,1.05855,0.67073,0.90146,0.78619,0.76448,0.77257,0.46209,1.39346,1.01374,1.04968,0.005545,0.005545,0.005545
47,4895.02,1.06581,0.67527,0.90363,0.77717,0.72133,0.75818,0.46225,1.39448,0.98142,1.04875,0.005446,0.005446,0.005446
48,4939.66,1.05709,0.66281,0.90047,0.81674,0.72496,0.78683,0.47129,1.37849,0.95224,1.0434,0.005347,0.005347,0.005347
49,4984.44,1.05126,0.66454,0.89981,0.80612,0.73687,0.79399,0.4728,1.37893,0.97634,1.04141,0.005248,0.005248,0.005248
50,5029.1,1.02977,0.64868,0.89382,0.83031,0.72009,0.7916,0.4757,1.38615,0.96466,1.05141,0.005149,0.005149,0.005149
51,5073.93,1.0278,0.64199,0.89381,0.80223,0.75109,0.78547,0.47236,1.37106,0.96361,1.04911,0.00505,0.00505,0.00505
52,5118.66,1.02689,0.65116,0.89366,0.81247,0.72821,0.79023,0.47179,1.41071,0.95188,1.06368,0.004951,0.004951,0.004951
53,5163.3,1.01682,0.62921,0.88876,0.7855,0.73954,0.78788,0.47188,1.39732,0.95267,1.05271,0.004852,0.004852,0.004852
54,5208.2,1.00764,0.63209,0.88771,0.81678,0.70479,0.77521,0.47249,1.39753,0.98678,1.05519,0.004753,0.004753,0.004753
55,5252.98,1.00225,0.6225,0.88375,0.80765,0.732,0.78222,0.47456,1.42902,0.96608,1.07048,0.004654,0.004654,0.004654
