epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.6525,2.41133,2.73911,1.795,0.00964,0.05197,0.00567,0.00154,3.01649,75.373,2.77119,0.0702439,0.00330623,0.00330623
2,78.493,2.43004,2.2163,1.83996,0.04428,0.07168,0.01133,0.00314,3.60348,4.98345,3.5744,0.0401782,0.00657383,0.00657383
3,117.318,2.39716,2.17025,1.84534,0.00478,0.00717,0.00166,0.00042,3.68126,6.15016,2.91503,0.0100464,0.00977544,0.00977544
4,157.668,2.40821,2.07928,1.81365,0.29152,0.23477,0.2037,0.06877,2.64897,2.81008,2.02798,0.009703,0.009703,0.009703
5,195.192,2.23003,1.92541,1.74615,0.18424,0.05914,0.04129,0.01317,3.61418,4.21563,3.20126,0.009604,0.009604,0.009604
6,231.843,2.21333,1.83018,1.70323,0.66913,0.33692,0.36863,0.15105,2.36837,2.42682,1.94257,0.009505,0.009505,0.009505
7,270.844,2.1095,1.75173,1.64057,0.1908,0.02867,0.02029,0.0128,4.13599,3.92402,4.04386,0.009406,0.009406,0.009406
8,307.545,2.07522,1.68488,1.61849,0.38055,0.36559,0.28453,0.0874,2.45026,2.50075,1.89523,0.009307,0.009307,0.009307
9,345.803,2.0292,1.61076,1.58937,0.27303,0.28136,0.22622,0.08442,2.41944,2.73647,1.94643,0.009208,0.009208,0.009208
10,386.749,2.00719,1.59724,1.55636,0.47669,0.20072,0.17851,0.05704,2.8941,3.01099,2.30704,0.009109,0.009109,0.009109
11,423.622,2.01694,1.55033,1.56884,0.61488,0.56989,0.58337,0.24042,2.04493,1.7012,1.69141,0.00901,0.00901,0.00901
12,460.338,1.99333,1.55721,1.55554,0.55099,0.46057,0.47604,0.17198,2.17905,1.8508,1.79526,0.008911,0.008911,0.008911
13,499.37,1.93342,1.47218,1.54315,0.52515,0.4319,0.45221,0.18968,2.17842,2.00419,1.75442,0.008812,0.008812,0.008812
14,535.755,1.92874,1.48467,1.50741,0.37228,0.17921,0.15747,0.06912,2.63758,3.54513,2.05155,0.008713,0.008713,0.008713
15,574.029,1.87988,1.40989,1.47922,0.74901,0.57885,0.68629,0.3147,1.94835,1.52872,1.60356,0.008614,0.008614,0.008614
16,615.262,1.85897,1.38864,1.48211,0.27542,0.14516,0.12173,0.04137,2.90475,2.88504,2.31587,0.008515,0.008515,0.008515
17,651.96,1.84526,1.37659,1.47183,0.62326,0.54122,0.58922,0.27672,1.94009,1.65405,1.56471,0.008416,0.008416,0.008416
18,688.816,1.80677,1.29389,1.45035,0.69083,0.64695,0.71081,0.34321,1.88626,1.4115,1.562,0.008317,0.008317,0.008317
19,727.142,1.83514,1.33527,1.45752,0.4176,0.22401,0.21332,0.08552,2.55553,2.86462,1.98017,0.008218,0.008218,0.008218
