epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.1555,2.73417,4.61906,1.95468,0.00018,0.02907,0.0001,3e-05,nan,nan,nan,0.0707317,0.00325203,0.00325203
2,9.02231,2.75099,2.71788,2.03049,0,0,0,0,nan,nan,nan,0.0406665,0.00652017,0.00652017
3,12.8713,2.68693,2.49193,1.95372,0.02083,0.00581,0.01048,0.00419,nan,nan,nan,0.0105353,0.00972231,0.00972231
4,16.918,2.59076,2.38765,1.89462,0.00141,0.01744,0.00022,8e-05,4.15749,65.5515,8.93369,0.009703,0.009703,0.009703
5,20.8534,2.49885,2.24999,1.84401,0.10335,0.12209,0.05809,0.01558,2.94116,2.99677,2.23449,0.009604,0.009604,0.009604
6,24.7948,2.44767,2.14463,1.80053,0.02754,0.02907,0.00896,0.00378,3.55274,5.07715,2.59354,0.009505,0.009505,0.009505
7,28.7207,2.45272,2.17624,1.79504,0.12764,0.0814,0.04009,0.00945,3.41579,3.616,2.37237,0.009406,0.009406,0.009406
8,32.6261,2.30064,1.99701,1.69093,0.17223,0.12209,0.06284,0.0181,2.63025,3.17996,2.01977,0.009307,0.009307,0.009307
9,36.5483,2.33706,2.05951,1.70776,0.0075,0.01163,0.00093,0.00029,4.19083,6.20653,2.66507,0.009208,0.009208,0.009208
10,40.5427,2.30977,2.02714,1.70171,0.30363,0.27326,0.20376,0.07768,2.51806,3.20217,1.95496,0.009109,0.009109,0.009109
11,44.4787,2.28001,1.96666,1.73735,0.26137,0.15116,0.11171,0.04181,2.74684,3.0301,2.04081,0.00901,0.00901,0.00901
12,48.401,2.21162,1.85401,1.6985,0.19727,0.14535,0.08474,0.02786,2.93932,3.2765,2.0517,0.008911,0.008911,0.008911
13,52.3324,2.15284,1.81112,1.62452,0.47571,0.51744,0.4376,0.16422,2.12324,1.96891,1.68908,0.008812,0.008812,0.008812
14,56.2769,2.22933,1.88266,1.67682,0.40951,0.35886,0.33548,0.11695,2.27769,2.30757,1.79491,0.008713,0.008713,0.008713
15,60.2196,2.16986,1.82346,1.65938,0.49141,0.27326,0.27354,0.10153,2.37919,2.55701,1.82831,0.008614,0.008614,0.008614
16,64.1641,2.13122,1.86501,1.59018,0.55116,0.48256,0.51479,0.19949,2.16581,1.71091,1.74003,0.008515,0.008515,0.008515
17,68.1159,2.06258,1.74495,1.57706,0.46959,0.5,0.46074,0.17399,2.10503,1.86571,1.68035,0.008416,0.008416,0.008416
18,72.0589,2.05074,1.65478,1.57579,0.55292,0.54651,0.52912,0.2149,2.05284,1.66562,1.61542,0.008317,0.008317,0.008317
19,76.0388,2.09205,1.66924,1.58726,0.48606,0.36047,0.35219,0.14098,2.27599,2.20033,1.77754,0.008218,0.008218,0.008218
20,80.0046,2.07338,1.69319,1.56201,0.55047,0.52907,0.5025,0.19806,2.0281,1.71565,1.63445,0.008119,0.008119,0.008119
21,83.9715,2.08455,1.62999,1.56648,0.44804,0.48137,0.43085,0.16574,2.22674,1.80844,1.73825,0.00802,0.00802,0.00802
22,88.0451,2.01,1.58089,1.5452,0.67769,0.53488,0.59111,0.21674,2.18373,1.70369,1.69678,0.007921,0.007921,0.007921
23,92.0257,1.9671,1.50514,1.51505,0.43735,0.51972,0.49606,0.21788,2.07272,1.69219,1.62845,0.007822,0.007822,0.007822
24,95.9928,2.07139,1.6357,1.56909,0.73481,0.47674,0.56136,0.23376,2.14318,1.797,1.66822,0.007723,0.007723,0.007723
25,99.9618,2.01266,1.61135,1.5032,0.54982,0.47093,0.46038,0.1856,2.2589,1.72174,1.74109,0.007624,0.007624,0.007624
26,103.925,2.00714,1.60602,1.51003,0.5284,0.48205,0.46588,0.19956,2.10185,1.75371,1.64062,0.007525,0.007525,0.007525
27,107.949,2.03743,1.64715,1.54903,0.54536,0.51744,0.52609,0.21866,2.00404,1.66372,1.60542,0.007426,0.007426,0.007426
28,112.021,1.9778,1.51753,1.51349,0.66304,0.61628,0.65481,0.27974,1.99273,1.56037,1.57882,0.007327,0.007327,0.007327
29,116.076,1.99395,1.59422,1.51623,0.28099,0.23256,0.17798,0.0559,2.51601,3.00132,1.93795,0.007228,0.007228,0.007228
30,120.118,1.91637,1.47117,1.47931,0.65824,0.58228,0.64287,0.2969,1.93726,1.4475,1.59048,0.007129,0.007129,0.007129
31,124.15,1.90978,1.44163,1.49578,0.77503,0.58085,0.65527,0.29679,1.8906,1.44425,1.51911,0.00703,0.00703,0.00703
32,128.138,1.87309,1.40859,1.4524,0.69857,0.63953,0.71809,0.34152,1.8183,1.33827,1.48259,0.006931,0.006931,0.006931
33,132.243,1.86066,1.45861,1.46075,0.53631,0.45727,0.45396,0.18336,2.08123,1.72917,1.6251,0.006832,0.006832,0.006832
34,136.574,1.92335,1.44884,1.50031,0.60338,0.54839,0.57176,0.21322,2.02376,1.6584,1.62667,0.006733,0.006733,0.006733
35,141.732,1.86185,1.37921,1.46523,0.69507,0.62209,0.64139,0.26148,2.0165,1.52135,1.56988,0.006634,0.006634,0.006634
36,145.713,1.89871,1.38324,1.46589,0.60791,0.56395,0.59766,0.25837,2.03501,1.56343,1.63083,0.006535,0.006535,0.006535
37,149.67,1.87528,1.44445,1.4427,0.6321,0.47949,0.52421,0.20324,2.20776,1.82362,1.71601,0.006436,0.006436,0.006436
38,153.654,1.81957,1.39836,1.41292,0.57298,0.58721,0.56342,0.24505,1.99549,1.56943,1.60348,0.006337,0.006337,0.006337
39,157.637,1.875,1.38521,1.46647,0.73898,0.65116,0.68952,0.29529,1.99742,1.36174,1.57201,0.006238,0.006238,0.006238
40,161.605,1.86443,1.39924,1.4346,0.66861,0.5814,0.65172,0.28397,1.90882,1.36508,1.54014,0.006139,0.006139,0.006139
41,165.593,1.86796,1.37769,1.41791,0.67112,0.64065,0.63951,0.30507,1.88642,1.41928,1.51964,0.00604,0.00604,0.00604
42,169.815,1.82027,1.34363,1.42381,0.61826,0.69186,0.67258,0.31549,1.89193,1.44162,1.5339,0.005941,0.005941,0.005941
43,176.137,1.8442,1.35099,1.4765,0.59061,0.52907,0.51995,0.22022,2.1502,1.90182,1.69842,0.005842,0.005842,0.005842
