epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.658,2.28202,5.17066,1.33446,0.43644,0.43086,0.35578,0.16666,1.81867,2.01666,1.11581,0.0701935,0.00331183,0.00331183
2,62.6967,1.83866,2.05457,1.13097,0.43689,0.43846,0.3561,0.14314,1.95009,1.91909,1.13734,0.0401278,0.00657937,0.00657937
3,93.4402,1.93398,2.05015,1.14612,0.24147,0.3006,0.1737,0.06222,2.40456,2.79027,1.33203,0.00999597,0.00978092,0.00978092
4,123.542,2.0953,2.13226,1.22261,0.41476,0.32465,0.2855,0.12057,2.24042,2.20322,1.354,0.009703,0.009703,0.009703
5,154.49,2.07355,2.00575,1.22509,0.49002,0.45691,0.40204,0.17227,2.06357,2.06821,1.27282,0.009604,0.009604,0.009604
6,184.429,2.00778,1.85699,1.23133,0.55593,0.5118,0.46957,0.19953,1.99933,1.71488,1.25948,0.009505,0.009505,0.009505
7,216.356,1.96346,1.81532,1.19295,0.4775,0.35896,0.33512,0.13426,2.17307,1.96586,1.32629,0.009406,0.009406,0.009406
8,253.522,1.86906,1.69092,1.16418,0.61156,0.501,0.51676,0.22865,1.85869,1.65334,1.19316,0.009307,0.009307,0.009307
9,295.432,1.87568,1.73967,1.16759,0.54651,0.53707,0.51747,0.23042,1.85898,1.67784,1.19814,0.009208,0.009208,0.009208
10,342.351,1.88193,1.64397,1.16674,0.50403,0.49499,0.46325,0.19839,1.92456,1.65486,1.20686,0.009109,0.009109,0.009109
11,389.063,1.85941,1.61624,1.16116,0.62651,0.54108,0.55824,0.25333,1.83904,1.55737,1.17794,0.00901,0.00901,0.00901
12,445.001,1.79706,1.55904,1.13643,0.53517,0.48697,0.4888,0.22343,1.887,1.65601,1.20157,0.008911,0.008911,0.008911
13,508.665,1.76425,1.57305,1.13729,0.54805,0.51303,0.49758,0.23519,1.7407,1.56282,1.15124,0.008812,0.008812,0.008812
14,572.451,1.75735,1.48155,1.11625,0.63352,0.56914,0.58114,0.26624,1.72088,1.46172,1.12778,0.008713,0.008713,0.008713
15,625.912,1.73787,1.50934,1.13633,0.63309,0.54309,0.58916,0.2758,1.72996,1.39098,1.14967,0.008614,0.008614,0.008614
16,691.26,1.70696,1.46953,1.1088,0.60489,0.59319,0.58948,0.2695,1.72331,1.4418,1.14543,0.008515,0.008515,0.008515
17,742.602,1.67359,1.43571,1.09205,0.61811,0.6098,0.60838,0.30056,1.68369,1.40177,1.10891,0.008416,0.008416,0.008416
18,781.872,1.67731,1.42714,1.09503,0.64449,0.56513,0.58563,0.30159,1.62462,1.32926,1.10901,0.008317,0.008317,0.008317
19,830.596,1.64367,1.41133,1.08169,0.6444,0.57315,0.57228,0.27789,1.69521,1.42957,1.12909,0.008218,0.008218,0.008218
20,880.936,1.64511,1.37662,1.06936,0.64521,0.52906,0.54913,0.27386,1.67308,1.45406,1.13498,0.008119,0.008119,0.008119
21,921.566,1.65244,1.41321,1.08921,0.63453,0.57916,0.61225,0.31191,1.59505,1.32965,1.11246,0.00802,0.00802,0.00802
22,972.635,1.62292,1.35672,1.09144,0.61976,0.60321,0.60877,0.28635,1.61161,1.37101,1.09413,0.007921,0.007921,0.007921
23,1022.87,1.62306,1.30813,1.08379,0.64014,0.58517,0.59813,0.29119,1.70472,1.41852,1.12746,0.007822,0.007822,0.007822
24,1061.25,1.54116,1.28029,1.0591,0.64571,0.61359,0.61453,0.31833,1.58968,1.39785,1.09692,0.007723,0.007723,0.007723
25,1111.59,1.57719,1.29856,1.06175,0.6621,0.61924,0.62639,0.31299,1.57266,1.28765,1.07979,0.007624,0.007624,0.007624
26,1162.64,1.56216,1.29327,1.06443,0.71434,0.59635,0.63986,0.33164,1.58153,1.25343,1.10857,0.007525,0.007525,0.007525
27,1203.89,1.56196,1.26687,1.05193,0.6426,0.58371,0.60123,0.29101,1.6641,1.46411,1.09301,0.007426,0.007426,0.007426
28,1253.88,1.51764,1.20219,1.0408,0.61548,0.64729,0.63855,0.33242,1.53851,1.24178,1.08172,0.007327,0.007327,0.007327
