image_pair,ssim
AoF00000.jpg vs AoF00001.jpg,0.08301059962734549
AoF00001.jpg vs AoF00002.jpg,0.13082455066675536
AoF00002.jpg vs AoF00004.jpg,0.1900527733602608
AoF00004.jpg vs AoF00005.jpg,0.5348795219731902
AoF00005.jpg vs AoF00007.jpg,0.601627854440004
AoF00007.jpg vs AoF00012.jpg,0.7676339316703475
AoF00012.jpg vs AoF00014.jpg,0.3596220175700092
AoF00014.jpg vs AoF00015.jpg,0.32867926594269153
AoF00015.jpg vs AoF00017.jpg,0.23089328322909247
AoF00017.jpg vs AoF00018.jpg,0.1985001938127194
AoF00018.jpg vs AoF00024.jpg,0.24196392747577367
AoF00024.jpg vs AoF00026.jpg,0.570073457637501
AoF00026.jpg vs AoF00028.jpg,0.5961757230571412
AoF00028.jpg vs AoF00031.jpg,0.2888259865943041
AoF00031.jpg vs AoF00036.jpg,0.2776697183521789
AoF00036.jpg vs AoF00040.jpg,0.46116475419411196
AoF00040.jpg vs AoF00041.jpg,0.7826062303160854
AoF00041.jpg vs AoF00046.jpg,0.45557486680273884
AoF00046.jpg vs AoF00057.jpg,0.4610997058322535
AoF00057.jpg vs AoF00060.jpg,0.47037794593905996
AoF00060.jpg vs AoF00071.jpg,0.39577641062126
AoF00071.jpg vs AoF00084.jpg,0.2521929988498814
AoF00084.jpg vs AoF00086.jpg,0.028116566947174723
AoF00086.jpg vs AoF00089.jpg,0.005932754108676555
AoF00089.jpg vs AoF00099.jpg,0.4211456113263324
AoF00099.jpg vs AoF00103.jpg,0.20807951161769456
AoF00103.jpg vs AoF00115.jpg,0.16182097594789147
AoF00115.jpg vs AoF00119.jpg,0.17697331628215932
AoF00119.jpg vs AoF00129.jpg,0.10746108076207235
AoF00129.jpg vs AoF00136.jpg,0.15485900717035214
AoF00136.jpg vs AoF00138.jpg,0.0860719623326392
AoF00138.jpg vs AoF00161.jpg,0.13767410939801425
AoF00161.jpg vs AoF00163.jpg,0.04567706146404249
AoF00163.jpg vs AoF00206.jpg,0.01219487141458325
