image_pair,ssim
bothFireAndSmoke_UAV000000.jpg vs bothFireAndSmoke_UAV000001.jpg,0.29474246012072075
bothFireAndSmoke_UAV000001.jpg vs bothFireAndSmoke_UAV000003.jpg,0.32839942991421317
bothFireAndSmoke_UAV000003.jpg vs bothFireAndSmoke_UAV000004.jpg,0.06340017370786086
bothFireAndSmoke_UAV000004.jpg vs bothFireAndSmoke_UAV000005.jpg,0.7380168326512971
bothFireAndSmoke_UAV000005.jpg vs bothFireAndSmoke_UAV000018.jpg,0.7012402802333942
bothFireAndSmoke_UAV000018.jpg vs bothFireAndSmoke_UAV000043.jpg,0.09399739862911155
bothFireAndSmoke_UAV000043.jpg vs bothFireAndSmoke_UAV000045.jpg,0.21027235617041914
bothFireAndSmoke_UAV000045.jpg vs bothFireAndSmoke_UAV000046.jpg,0.06242273297398785
bothFireAndSmoke_UAV000046.jpg vs bothFireAndSmoke_UAV000073.jpg,0.4650846211295194
bothFireAndSmoke_UAV000073.jpg vs bothFireAndSmoke_UAV000110.jpg,0.1168270529614769
bothFireAndSmoke_UAV000110.jpg vs bothFireAndSmoke_UAV000113.jpg,0.2511760256250139
bothFireAndSmoke_UAV000113.jpg vs bothFireAndSmoke_UAV000114.jpg,0.193197220986647
bothFireAndSmoke_UAV000114.jpg vs bothFireAndSmoke_UAV000115.jpg,0.22870671036609583
bothFireAndSmoke_UAV000115.jpg vs bothFireAndSmoke_UAV000134.jpg,0.5758260393765976
bothFireAndSmoke_UAV000134.jpg vs bothFireAndSmoke_UAV000160.jpg,0.5612163265173954
bothFireAndSmoke_UAV000160.jpg vs bothFireAndSmoke_UAV000172.jpg,0.6272258822006191
bothFireAndSmoke_UAV000172.jpg vs bothFireAndSmoke_UAV000190.jpg,0.5920163403997017
bothFireAndSmoke_UAV000190.jpg vs bothFireAndSmoke_UAV000216.jpg,0.5947044712948377
bothFireAndSmoke_UAV000216.jpg vs bothFireAndSmoke_UAV000252.jpg,0.6002046463412887
bothFireAndSmoke_UAV000252.jpg vs bothFireAndSmoke_UAV000258.jpg,0.43154264941526127
bothFireAndSmoke_UAV000258.jpg vs bothFireAndSmoke_UAV000272.jpg,0.43533144651009065
bothFireAndSmoke_UAV000272.jpg vs bothFireAndSmoke_UAV000307.jpg,0.5659298475715334
bothFireAndSmoke_UAV000307.jpg vs bothFireAndSmoke_UAV000331.jpg,0.6126229384506804
bothFireAndSmoke_UAV000331.jpg vs bothFireAndSmoke_UAV000359.jpg,0.5975559634207555
bothFireAndSmoke_UAV000359.jpg vs bothFireAndSmoke_UAV000391.jpg,0.6032384392422845
bothFireAndSmoke_UAV000391.jpg vs bothFireAndSmoke_UAV000405.jpg,0.5223276848686078
bothFireAndSmoke_UAV000405.jpg vs bothFireAndSmoke_UAV000436.jpg,0.5850959850161681
bothFireAndSmoke_UAV000436.jpg vs bothFireAndSmoke_UAV000477.jpg,0.5650823655089544
bothFireAndSmoke_UAV000477.jpg vs bothFireAndSmoke_UAV000523.jpg,0.74218729891805
bothFireAndSmoke_UAV000523.jpg vs bothFireAndSmoke_UAV000558.jpg,0.7459654938895943
bothFireAndSmoke_UAV000558.jpg vs bothFireAndSmoke_UAV000574.jpg,0.5358763332099556
