image_pair,ssim
test_video_001_frame_000000.jpg vs test_video_002_frame_000000.jpg,0.4523449882681785
test_video_002_frame_000000.jpg vs test_video_002_frame_000132.jpg,0.5879736521158746
test_video_002_frame_000132.jpg vs test_video_002_frame_000394.jpg,0.6213195485856307
test_video_002_frame_000394.jpg vs test_video_002_frame_000648.jpg,0.561716658488327
test_video_002_frame_000648.jpg vs test_video_002_frame_000719.jpg,0.573667627477917
test_video_002_frame_000719.jpg vs test_video_002_frame_000724.jpg,0.5988205044675203
test_video_002_frame_000724.jpg vs test_video_002_frame_000729.jpg,0.6077010733009656
test_video_002_frame_000729.jpg vs test_video_002_frame_000871.jpg,0.5190100175349956
test_video_002_frame_000871.jpg vs test_video_002_frame_001033.jpg,0.4910486381915182
test_video_002_frame_001033.jpg vs test_video_002_frame_001108.jpg,0.480037364998145
test_video_002_frame_001108.jpg vs test_video_002_frame_001111.jpg,0.601555360320557
test_video_002_frame_001111.jpg vs test_video_002_frame_001323.jpg,0.6591035241484422
test_video_002_frame_001323.jpg vs test_video_002_frame_001554.jpg,0.651391806845011
test_video_002_frame_001554.jpg vs test_video_002_frame_001613.jpg,0.6790476746167807
test_video_002_frame_001613.jpg vs test_video_002_frame_001652.jpg,0.6788833409900449
test_video_002_frame_001652.jpg vs test_video_002_frame_001984.jpg,0.6139702894489225
test_video_002_frame_001984.jpg vs test_video_002_frame_002238.jpg,0.653386331742704
test_video_002_frame_002238.jpg vs test_video_002_frame_002611.jpg,0.6194887930211618
test_video_002_frame_002611.jpg vs test_video_002_frame_003063.jpg,0.5931506871579051
test_video_002_frame_003063.jpg vs test_video_002_frame_003189.jpg,0.6854609857344773
test_video_002_frame_003189.jpg vs test_video_002_frame_003405.jpg,0.6640848739067509
test_video_002_frame_003405.jpg vs test_video_002_frame_003509.jpg,0.7616773815713352
test_video_002_frame_003509.jpg vs test_video_002_frame_003658.jpg,0.7728368996884849
test_video_002_frame_003658.jpg vs test_video_002_frame_003721.jpg,0.7878686351069599
test_video_002_frame_003721.jpg vs test_video_002_frame_003765.jpg,0.7909351567639388
test_video_002_frame_003765.jpg vs test_video_002_frame_003822.jpg,0.7827274311056718
test_video_002_frame_003822.jpg vs test_video_002_frame_003854.jpg,0.7985647344910723
test_video_002_frame_003854.jpg vs test_video_002_frame_003884.jpg,0.8109669473797707
test_video_002_frame_003884.jpg vs test_video_002_frame_003908.jpg,0.8381745290913498
test_video_002_frame_003908.jpg vs test_video_002_frame_003928.jpg,0.8507386898258182
test_video_002_frame_003928.jpg vs test_video_002_frame_003966.jpg,0.8525297928877243
test_video_002_frame_003966.jpg vs test_video_002_frame_003981.jpg,0.893869965899764
test_video_002_frame_003981.jpg vs test_video_002_frame_004001.jpg,0.917938277203157
test_video_002_frame_004001.jpg vs test_video_002_frame_004028.jpg,0.943179765946287
test_video_002_frame_004028.jpg vs test_video_002_frame_004046.jpg,0.9563218690333115
test_video_002_frame_004046.jpg vs test_video_002_frame_004103.jpg,0.9253559607577254
test_video_002_frame_004103.jpg vs test_video_003_frame_000000.jpg,0.31521485129669125
test_video_003_frame_000000.jpg vs test_video_003_frame_000081.jpg,0.28055880539387623
test_video_003_frame_000081.jpg vs test_video_003_frame_000096.jpg,0.30494654130257115
test_video_003_frame_000096.jpg vs test_video_003_frame_000219.jpg,0.35113759797837735
test_video_003_frame_000219.jpg vs test_video_003_frame_000385.jpg,0.4173067890821055
test_video_003_frame_000385.jpg vs test_video_003_frame_000413.jpg,0.3132178172593311
test_video_003_frame_000413.jpg vs test_video_003_frame_000509.jpg,0.27025700580384265
test_video_003_frame_000509.jpg vs test_video_003_frame_000540.jpg,0.29436124582028933
test_video_003_frame_000540.jpg vs test_video_003_frame_000566.jpg,0.19252453066998315
test_video_003_frame_000566.jpg vs test_video_003_frame_000706.jpg,0.18793339178922777
test_video_003_frame_000706.jpg vs test_video_003_frame_000736.jpg,0.1897846974449768
test_video_003_frame_000736.jpg vs test_video_003_frame_000819.jpg,0.25021634417208405
test_video_003_frame_000819.jpg vs test_video_003_frame_000854.jpg,0.25376070733912537
test_video_003_frame_000854.jpg vs test_video_003_frame_000918.jpg,0.3597290264466687
test_video_003_frame_000918.jpg vs test_video_003_frame_000931.jpg,0.3131822335239203
test_video_003_frame_000931.jpg vs test_video_004_frame_000000.jpg,0.2283510103864889
test_video_004_frame_000000.jpg vs test_video_005_frame_000042.jpg,0.47254547699794386
test_video_005_frame_000042.jpg vs train_video_001_frame_000000.jpg,0.22512328963616227
train_video_001_frame_000000.jpg vs train_video_002_frame_000005.jpg,0.3608478168534481
train_video_002_frame_000005.jpg vs train_video_002_frame_000298.jpg,0.5007893703971882
train_video_002_frame_000298.jpg vs train_video_002_frame_000405.jpg,0.5481255271252776
train_video_002_frame_000405.jpg vs train_video_002_frame_000540.jpg,0.5582202694389109
train_video_002_frame_000540.jpg vs train_video_003_frame_000000.jpg,0.26840851913237085
train_video_003_frame_000000.jpg vs train_video_003_frame_000077.jpg,0.22519928565358793
