image_pair,ssim
fire-1-_png.rf.84b22241a67c7f1bc97d62decdaaf762.jpg vs fire-100-_png.rf.20b623f9f809672a6555d57f805acbfc.jpg,0.16648463528294996
fire-100-_png.rf.20b623f9f809672a6555d57f805acbfc.jpg vs fire-1000-_png.rf.4d4ce8842eb9d5f6cfa1cc7901df191e.jpg,0.198204629465126
fire-1000-_png.rf.4d4ce8842eb9d5f6cfa1cc7901df191e.jpg vs fire-1009-_png.rf.a7d9357923c5eac5f3c357afa38dfce3.jpg,0.3988197612087193
fire-1009-_png.rf.a7d9357923c5eac5f3c357afa38dfce3.jpg vs fire-1019-_png.rf.efd0e6cbaf63f1d25bbdea7f636de5ae.jpg,0.42481712025251844
fire-1019-_png.rf.efd0e6cbaf63f1d25bbdea7f636de5ae.jpg vs fire-1033-_png.rf.74773cdab9bf5abcc98084cc34338aac.jpg,0.37194414247013313
fire-1033-_png.rf.74773cdab9bf5abcc98084cc34338aac.jpg vs fire-1038-_png.rf.52d474213549388503ab2f1efc433688.jpg,0.369431918805998
fire-1038-_png.rf.52d474213549388503ab2f1efc433688.jpg vs fire-1047-_png.rf.2db08c1975031c0ea719544c4787f208.jpg,0.37427297336559945
fire-1047-_png.rf.2db08c1975031c0ea719544c4787f208.jpg vs fire-1054-_png.rf.0acb64af8b50cf3cd906b4f7a07a11f7.jpg,0.3711156352074088
fire-1054-_png.rf.0acb64af8b50cf3cd906b4f7a07a11f7.jpg vs fire-1063-_png.rf.215d648efc6f19c4dd24be188f962a34.jpg,0.46659089987313723
fire-1063-_png.rf.215d648efc6f19c4dd24be188f962a34.jpg vs fire-1100-_png.rf.a16843db84835fc99704d1d73f8c2dcc.jpg,0.4131230708931456
fire-1100-_png.rf.a16843db84835fc99704d1d73f8c2dcc.jpg vs fire-1103-_png.rf.c0becec475c4a61737a89b3e24c49175.jpg,0.3986790656833123
fire-1103-_png.rf.c0becec475c4a61737a89b3e24c49175.jpg vs fire-1105-_png.rf.f8c15207143af2c34ddf3250cb36384c.jpg,0.44534246395969923
fire-1105-_png.rf.f8c15207143af2c34ddf3250cb36384c.jpg vs fire-1108-_png.rf.6d7d65e05763354e5e2f69c7bcd69365.jpg,0.4057474887831745
fire-1108-_png.rf.6d7d65e05763354e5e2f69c7bcd69365.jpg vs fire-1118-_png.rf.1643d74828fbffc320e4787bfd80dc4e.jpg,0.38735319514819255
fire-1118-_png.rf.1643d74828fbffc320e4787bfd80dc4e.jpg vs fire-1131-_png.rf.d8b6f5e101531ea8ccb07e872bb8f528.jpg,0.18744459020955154
fire-1131-_png.rf.d8b6f5e101531ea8ccb07e872bb8f528.jpg vs fire-1147-_png.rf.fb3a6238bfea00333582569db0b3dcdc.jpg,0.22481315983571662
fire-1147-_png.rf.fb3a6238bfea00333582569db0b3dcdc.jpg vs fire-1191-_png.rf.feac9cc5b8626d18663bc334e4731e22.jpg,0.20107792866419297
fire-1191-_png.rf.feac9cc5b8626d18663bc334e4731e22.jpg vs fire-1198-_png.rf.5472c99a963525a317ace464891f3ae3.jpg,0.17789969554141793
fire-1198-_png.rf.5472c99a963525a317ace464891f3ae3.jpg vs fire-1201-_png.rf.14936f36bc48f934ee20998cc7fa8469.jpg,0.17028217841476742
fire-1201-_png.rf.14936f36bc48f934ee20998cc7fa8469.jpg vs fire-1205-_png.rf.c60e56e0eb336d133b7b6b3269fda986.jpg,0.13511762192589932
fire-1205-_png.rf.c60e56e0eb336d133b7b6b3269fda986.jpg vs fire-1210-_png.rf.f2a828fd399aef1edd105d4640cbaa98.jpg,0.1463122063661761
fire-1210-_png.rf.f2a828fd399aef1edd105d4640cbaa98.jpg vs fire-1213-_png.rf.1b5097e16e4b3e8ae3dd1d579501a1f3.jpg,0.13997027445629343
fire-1213-_png.rf.1b5097e16e4b3e8ae3dd1d579501a1f3.jpg vs fire-1222-_png.rf.cd213f66276fe1a332aaa731b9b0a1bd.jpg,0.13376751891544847
fire-1222-_png.rf.cd213f66276fe1a332aaa731b9b0a1bd.jpg vs fire-1275-_png.rf.82eccdc4c746a523261fb658c7588ddd.jpg,0.13023641339688627
fire-1275-_png.rf.82eccdc4c746a523261fb658c7588ddd.jpg vs fire-1283-_png.rf.616b266e0a54d301b7a1ea8cfeb23ddf.jpg,0.2514650713041509
fire-1283-_png.rf.616b266e0a54d301b7a1ea8cfeb23ddf.jpg vs fire-1287-_png.rf.f8b266e53c8adf479be84696c3ef6941.jpg,0.46521204027307456
fire-1287-_png.rf.f8b266e53c8adf479be84696c3ef6941.jpg vs fire-129-_png.rf.1250cfdc2b8301072aace8982fe5cd51.jpg,0.18242484995016134
fire-129-_png.rf.1250cfdc2b8301072aace8982fe5cd51.jpg vs fire-1290-_png.rf.12b5e81504de1f66560e8da8eb88296d.jpg,0.16814673329371202
fire-1290-_png.rf.12b5e81504de1f66560e8da8eb88296d.jpg vs fire-1296-_png.rf.c5f6ef5dad482184e6c2ab0b32ba0f80.jpg,0.4720585284124995
fire-1296-_png.rf.c5f6ef5dad482184e6c2ab0b32ba0f80.jpg vs fire-1299-_png.rf.2e8a4de42f7a657abf7b200a9ebe8604.jpg,0.3564978479754404
fire-1299-_png.rf.2e8a4de42f7a657abf7b200a9ebe8604.jpg vs fire-1302-_png.rf.a441bfcebd95d8b55b3a9e77a6d07aa6.jpg,0.30445691992147833
fire-1302-_png.rf.a441bfcebd95d8b55b3a9e77a6d07aa6.jpg vs fire-1306-_png.rf.aa6d03e1d77e3456f381c186e015a502.jpg,0.2681297922903489
fire-1306-_png.rf.aa6d03e1d77e3456f381c186e015a502.jpg vs fire-1308-_png.rf.3a286eae82d7d0fba383477411533948.jpg,0.2568365519774153
fire-1308-_png.rf.3a286eae82d7d0fba383477411533948.jpg vs fire-1310-_png.rf.921c88c90176de0bd7fd60a7742a6519.jpg,0.27334411548913784
fire-1310-_png.rf.921c88c90176de0bd7fd60a7742a6519.jpg vs fire-134-_png.rf.2205def70680a1db99200ae76b804444.jpg,0.1592254622972829
fire-134-_png.rf.2205def70680a1db99200ae76b804444.jpg vs fire-1345-_png.rf.b805ff6b3e5953f602c649c8339d2f2a.jpg,0.1412510830741174
fire-1345-_png.rf.b805ff6b3e5953f602c649c8339d2f2a.jpg vs fire-1355-_png.rf.84872e372a3ebe7f4f4cf75921986999.jpg,0.5405424829837299
fire-1355-_png.rf.84872e372a3ebe7f4f4cf75921986999.jpg vs fire-1366-_png.rf.b5d89c441ef84c181cbc695b09db460d.jpg,0.2699305219255201
fire-1366-_png.rf.b5d89c441ef84c181cbc695b09db460d.jpg vs fire-1371-_png.rf.8cb4ae08ca38225694f4417f04fa837f.jpg,0.3577596370470381
fire-1371-_png.rf.8cb4ae08ca38225694f4417f04fa837f.jpg vs fire-1373-_png.rf.a99553cb706115af1687928b60ee3c0f.jpg,0.33445639519563414
fire-1373-_png.rf.a99553cb706115af1687928b60ee3c0f.jpg vs fire-1375-_png.rf.07b4c350879d7be3ccc74d326342d9cb.jpg,0.2985600231331994
fire-1375-_png.rf.07b4c350879d7be3ccc74d326342d9cb.jpg vs fire-1378-_png.rf.fb4c4d9f4eee0e1b2efb2c5012bc3d74.jpg,0.26276018522943106
fire-1378-_png.rf.fb4c4d9f4eee0e1b2efb2c5012bc3d74.jpg vs fire-1383-_png.rf.9b445f7360c890e25b44227ab4a6a669.jpg,0.3501327307241268
fire-1383-_png.rf.9b445f7360c890e25b44227ab4a6a669.jpg vs fire-1397-_png.rf.545f788da885f5ba84fca37b1953bd66.jpg,0.301763823537003
fire-1397-_png.rf.545f788da885f5ba84fca37b1953bd66.jpg vs fire-1400-_png.rf.a166ec846d045778508d4556e25ab40b.jpg,0.3713568748682701
fire-1400-_png.rf.a166ec846d045778508d4556e25ab40b.jpg vs fire-1406-_png.rf.3b4e2ffb4a3dff0ed9205e3814456726.jpg,0.33151216303151054
fire-1406-_png.rf.3b4e2ffb4a3dff0ed9205e3814456726.jpg vs fire-1409-_png.rf.c097e359fd6f4cc06ed290a99fcb93c3.jpg,0.31130049231432144
fire-1409-_png.rf.c097e359fd6f4cc06ed290a99fcb93c3.jpg vs fire-1411-_png.rf.31b8e54cbcaa0ca927f33db84724e4ee.jpg,0.34761968396362153
fire-1411-_png.rf.31b8e54cbcaa0ca927f33db84724e4ee.jpg vs fire-1417-_png.rf.7a29e8c43bb07f6fbb56e06861b8252d.jpg,0.27606271504489116
fire-1417-_png.rf.7a29e8c43bb07f6fbb56e06861b8252d.jpg vs fire-1458-_png.rf.ed0e1379edcf7df14309817c45c841cd.jpg,0.35960679989697114
fire-1458-_png.rf.ed0e1379edcf7df14309817c45c841cd.jpg vs fire-1461-_png.rf.99d87dc3ec5c1bcacb1ed7ad81cdf029.jpg,0.38662795619411633
fire-1461-_png.rf.99d87dc3ec5c1bcacb1ed7ad81cdf029.jpg vs fire-1466-_png.rf.8eb6e0941be1ce06a7afca71d2691836.jpg,0.38560587808287394
fire-1466-_png.rf.8eb6e0941be1ce06a7afca71d2691836.jpg vs fire-1468-_png.rf.297d3f38e7f18d02320666e560a4ac04.jpg,0.40952455618756556
fire-1468-_png.rf.297d3f38e7f18d02320666e560a4ac04.jpg vs fire-1470-_png.rf.27c8ff3fff60b4c98bd1c73cc0b4e7c8.jpg,0.3895585816516315
fire-1470-_png.rf.27c8ff3fff60b4c98bd1c73cc0b4e7c8.jpg vs fire-1487-_png.rf.19d95202123097966ffde944bd6a985b.jpg,0.2973814193029492
fire-1487-_png.rf.19d95202123097966ffde944bd6a985b.jpg vs fire-1492-_png.rf.2b3d7bc8b4e2f5f99805e0eddb4e3014.jpg,0.3580345235966934
fire-1492-_png.rf.2b3d7bc8b4e2f5f99805e0eddb4e3014.jpg vs fire-150-_png.rf.5ca2d0db44c7252473800894c4b60f9b.jpg,0.04605971373123503
fire-150-_png.rf.5ca2d0db44c7252473800894c4b60f9b.jpg vs fire-1503-_png.rf.0eac58969453fe830b6a0934e8bde628.jpg,0.05402155373937199
fire-1503-_png.rf.0eac58969453fe830b6a0934e8bde628.jpg vs fire-1506-_png.rf.58a170432ae74d7750c7e87a88dbc033.jpg,0.3738297773419405
fire-1506-_png.rf.58a170432ae74d7750c7e87a88dbc033.jpg vs fire-1519-_png.rf.de37ad068e041ad7b6a774540d5d457d.jpg,0.35171379123260815
fire-1519-_png.rf.de37ad068e041ad7b6a774540d5d457d.jpg vs fire-152-_png.rf.7bc4aa0883a601feef89780c1f3836eb.jpg,0.13189849255572414
fire-152-_png.rf.7bc4aa0883a601feef89780c1f3836eb.jpg vs fire-1521-_png.rf.fe36aa1a0b424c25f4d9602bd236b5c1.jpg,0.1429516568354966
fire-1521-_png.rf.fe36aa1a0b424c25f4d9602bd236b5c1.jpg vs fire-1535-_png.rf.60cf78d72c08813275983f860c1d26dc.jpg,0.32464086574541684
fire-1535-_png.rf.60cf78d72c08813275983f860c1d26dc.jpg vs fire-1537-_png.rf.5503cb1447956b6e9cf53dbe7987b111.jpg,0.45071227046965084
fire-1537-_png.rf.5503cb1447956b6e9cf53dbe7987b111.jpg vs fire-157-_png.rf.3bca03396706eeaa07fa5200dac33635.jpg,0.1161307572009704
fire-157-_png.rf.3bca03396706eeaa07fa5200dac33635.jpg vs fire-1585-_png.rf.0c5a623f26abd3ec88120c3467384857.jpg,0.12656452464592893
fire-1585-_png.rf.0c5a623f26abd3ec88120c3467384857.jpg vs fire-1588-_png.rf.735ccbee057471f3d8d9ecce51f1d648.jpg,0.3413233637420028
fire-1588-_png.rf.735ccbee057471f3d8d9ecce51f1d648.jpg vs fire-159-_png.rf.cf282ae063ab30b3711bb37189e91ea3.jpg,0.13632803951239034
fire-159-_png.rf.cf282ae063ab30b3711bb37189e91ea3.jpg vs fire-1594-_png.rf.8ce9054d55928d2c43dd6913f689d471.jpg,0.16555083351372854
fire-1594-_png.rf.8ce9054d55928d2c43dd6913f689d471.jpg vs fire-1596-_png.rf.3e8c2c09817ea2f3dc241c5fdae23ca2.jpg,0.4264614056460942
fire-1596-_png.rf.3e8c2c09817ea2f3dc241c5fdae23ca2.jpg vs fire-1601-_png.rf.3d299d913a58e7c0777a956baa190f54.jpg,0.4096033589326901
fire-1601-_png.rf.3d299d913a58e7c0777a956baa190f54.jpg vs fire-1604-_png.rf.48d6d03dd75e2b392964d0b319123b69.jpg,0.41528062213509515
fire-1604-_png.rf.48d6d03dd75e2b392964d0b319123b69.jpg vs fire-161-_png.rf.2cce5b1cf56cbca583856915700b62eb.jpg,0.14460129599687788
fire-161-_png.rf.2cce5b1cf56cbca583856915700b62eb.jpg vs fire-1615-_png.rf.162529e525c4e6e3d1481fc959c0f320.jpg,0.14357335174183208
fire-1615-_png.rf.162529e525c4e6e3d1481fc959c0f320.jpg vs fire-1622-_png.rf.5aaffe46b4f8fbe105cbdad32c9eda1f.jpg,0.3401799409951312
fire-1622-_png.rf.5aaffe46b4f8fbe105cbdad32c9eda1f.jpg vs fire-1624-_png.rf.a2bb89f663a206a89fb4669c56360927.jpg,0.4154962379901284
