bin_index,bin_range_percent,image_path,label_path,area_percent,class_id,box_index,x_center_norm,y_center_norm,width_norm,height_norm
0,0.00-0.20,/lab/biohpc/ComputerVisionAI/fire_smoke_awr/data/detection/datasets/A/original/images/smoke_UAV000819.jpg,/lab/biohpc/ComputerVisionAI/fire_smoke_awr/data/detection/datasets/A/original/labels/smoke_UAV000819.txt,0.1847,1,0,0.696777,0.528320,0.034180,0.054036
0,0.00-0.20,/lab/biohpc/ComputerVisionAI/fire_smoke_awr/data/detection/datasets/A/original/images/fire_UAV000153.jpg,/lab/biohpc/ComputerVisionAI/fire_smoke_awr/data/detection/datasets/A/original/labels/fire_UAV000153.txt,0.0187,0,0,0.602702,0.547852,0.015951,0.011719
0,0.00-0.20,/lab/biohpc/ComputerVisionAI/fire_smoke_awr/data/detection/datasets/A/original/images/fire_UAV000188.jpg,/lab/biohpc/ComputerVisionAI/fire_smoke_awr/data/detection/datasets/A/original/labels/fire_UAV000188.txt,0.0447,0,0,0.750000,0.699707,0.024089,0.018555
0,0.00-0.20,/lab/biohpc/ComputerVisionAI/fire_smoke_awr/data/detection/datasets/A/original/images/smoke_UAV002653.jpg,/lab/biohpc/ComputerVisionAI/fire_smoke_awr/data/detection/datasets/A/original/labels/smoke_UAV002653.txt,0.0750,1,0,0.787923,0.507568,0.028971,0.025879
0,0.00-0.20,/lab/biohpc/ComputerVisionAI/fire_smoke_awr/data/detection/datasets/A/original/images/smoke_UAV003827.jpg,/lab/biohpc/ComputerVisionAI/fire_smoke_awr/data/detection/datasets/A/original/labels/smoke_UAV003827.txt,0.1563,1,0,0.671387,0.530518,0.036784,0.042480
1,0.20-0.40,/lab/biohpc/ComputerVisionAI/fire_smoke_awr/data/detection/datasets/A/original/images/smoke_UAV000909.jpg,/lab/biohpc/ComputerVisionAI/fire_smoke_awr/data/detection/datasets/A/original/labels/smoke_UAV000909.txt,0.2721,1,0,0.885010,0.479818,0.052246,0.052083
1,0.20-0.40,/lab/biohpc/ComputerVisionAI/fire_smoke_awr/data/detection/datasets/A/original/images/smoke_UAV000255.jpg,/lab/biohpc/ComputerVisionAI/fire_smoke_awr/data/detection/datasets/A/original/labels/smoke_UAV000255.txt,0.2632,1,0,0.217285,0.466797,0.044922,0.058594
1,0.20-0.40,/lab/biohpc/ComputerVisionAI/fire_smoke_awr/data/detection/datasets/A/original/images/smoke_UAV003670.jpg,/lab/biohpc/ComputerVisionAI/fire_smoke_awr/data/detection/datasets/A/original/labels/smoke_UAV003670.txt,0.3055,1,0,0.899251,0.520264,0.048503,0.062988
1,0.20-0.40,/lab/biohpc/ComputerVisionAI/fire_smoke_awr/data/detection/datasets/A/original/images/smoke_UAV000125.jpg,/lab/biohpc/ComputerVisionAI/fire_smoke_awr/data/detection/datasets/A/original/labels/smoke_UAV000125.txt,0.2034,1,0,0.314688,0.449583,0.044375,0.045833
1,0.20-0.40,/lab/biohpc/ComputerVisionAI/fire_smoke_awr/data/detection/datasets/A/original/images/smoke_UAV001302.jpg,/lab/biohpc/ComputerVisionAI/fire_smoke_awr/data/detection/datasets/A/original/labels/smoke_UAV001302.txt,0.2343,1,0,0.532878,0.390869,0.071615,0.032715
2,0.40-0.60,/lab/biohpc/ComputerVisionAI/fire_smoke_awr/data/detection/datasets/A/original/images/smoke_UAV004145.jpg,/lab/biohpc/ComputerVisionAI/fire_smoke_awr/data/detection/datasets/A/original/labels/smoke_UAV004145.txt,0.4101,1,0,0.765951,0.502930,0.055990,0.073242
2,0.40-0.60,/lab/biohpc/ComputerVisionAI/fire_smoke_awr/data/detection/datasets/A/original/images/smoke_UAV000376.jpg,/lab/biohpc/ComputerVisionAI/fire_smoke_awr/data/detection/datasets/A/original/labels/smoke_UAV000376.txt,0.5741,1,0,0.681152,0.508138,0.083984,0.068359
2,0.40-0.60,/lab/biohpc/ComputerVisionAI/fire_smoke_awr/data/detection/datasets/A/original/images/smoke_UAV004074.jpg,/lab/biohpc/ComputerVisionAI/fire_smoke_awr/data/detection/datasets/A/original/labels/smoke_UAV004074.txt,0.5736,1,0,0.832194,0.527344,0.112956,0.050781
2,0.40-0.60,/lab/biohpc/ComputerVisionAI/fire_smoke_awr/data/detection/datasets/A/original/images/smoke_UAV003196.jpg,/lab/biohpc/ComputerVisionAI/fire_smoke_awr/data/detection/datasets/A/original/labels/smoke_UAV003196.txt,0.4337,1,0,0.819499,0.565186,0.083008,0.052246
2,0.40-0.60,/lab/biohpc/ComputerVisionAI/fire_smoke_awr/data/detection/datasets/A/original/images/smoke_UAV002568.jpg,/lab/biohpc/ComputerVisionAI/fire_smoke_awr/data/detection/datasets/A/original/labels/smoke_UAV002568.txt,0.4738,1,0,0.843424,0.520996,0.105469,0.044922
3,0.60-0.80,/lab/biohpc/ComputerVisionAI/fire_smoke_awr/data/detection/datasets/A/original/images/smoke_UAV003900.jpg,/lab/biohpc/ComputerVisionAI/fire_smoke_awr/data/detection/datasets/A/original/labels/smoke_UAV003900.txt,0.6629,1,0,0.095540,0.765381,0.075846,0.087402
3,0.60-0.80,/lab/biohpc/ComputerVisionAI/fire_smoke_awr/data/detection/datasets/A/original/images/smoke_UAV003435.jpg,/lab/biohpc/ComputerVisionAI/fire_smoke_awr/data/detection/datasets/A/original/labels/smoke_UAV003435.txt,0.7625,1,0,0.358561,0.516113,0.063477,0.120117
3,0.60-0.80,/lab/biohpc/ComputerVisionAI/fire_smoke_awr/data/detection/datasets/A/original/images/smoke_UAV000530.jpg,/lab/biohpc/ComputerVisionAI/fire_smoke_awr/data/detection/datasets/A/original/labels/smoke_UAV000530.txt,0.6538,1,0,0.509033,0.519206,0.076660,0.085286
3,0.60-0.80,/lab/biohpc/ComputerVisionAI/fire_smoke_awr/data/detection/datasets/A/original/images/smoke_UAV000689.jpg,/lab/biohpc/ComputerVisionAI/fire_smoke_awr/data/detection/datasets/A/original/labels/smoke_UAV000689.txt,0.7629,1,0,0.057373,0.529622,0.113770,0.067057
